Type,Total Pct.,Calculation Pct.,EDER,DOR,gid,Case,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
Rand,0.5503,0.3291,0.8829,0.7778,2,6,4,0.95,3,197.88324596254603,280.51205375583015
CPF,0.547,0.332,0.6981,0.3333,2,6,4,0.95,3,186.7660424305845,280.0940670083733
ICRB,0.5395,0.3339,0.6833,0.3889,2,6,4,0.95,3,186.7660424305845,280.0940670083733
STO,0.5488,0.3123,0.8687,0.0556,2,6,4,0.95,3,186.7660424305845,280.0940670083733
Rand,0.5553,0.3152,0.8427,0.5556,2,6,4,0.95,3,186.7660424305845,280.0940670083733
CPF,0.4801,0.3081,0.6974,0.5,2,7,4,0.85,3,225.60176422836344,329.4894277738154
ICRB,0.4698,0.3044,0.7317,0.3889,2,7,4,0.85,3,225.60176422836344,329.4894277738154
STO,0.4802,0.2938,0.8365,0.1667,2,7,4,0.85,3,225.60176422836344,329.4894277738154
Rand,0.4731,0.2905,0.871,0.7778,2,7,4,0.85,3,225.60176422836344,329.4894277738154
CPF,0.5352,0.3477,0.7325,0.5556,2,7,4,0.85,3,197.06134685594833,283.5151042491234
ICRB,0.536,0.3465,0.7434,0.3889,2,7,4,0.85,3,197.06134685594833,283.5151042491234
STO,0.547,0.3304,0.8905,0.1111,2,7,4,0.85,3,197.06134685594833,283.5151042491234
Rand,0.5469,0.3277,0.9161,0.5556,2,7,4,0.85,3,197.06134685594833,283.5151042491234
CPF,0.5261,0.3365,0.7725,0.5556,2,7,4,0.85,3,201.7085088582236,297.1721570587257
ICRB,0.532,0.3424,0.7226,0.4444,2,7,4,0.85,3,201.7085088582236,297.1721570587257
STO,0.5392,0.329,0.8382,0.0556,2,7,4,0.85,3,201.7085088582236,297.1721570587257
