Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Sched Time,gid,Case,Scheduling Algorithm
Rand,0.5072,0.3881,0.4479,0.375,0.005344390869140625,0.003348112106323242,1,1,HEFT
CPF,0.4917,0.3861,0.4845,0.375,0.008326292037963867,0.0045926570892333984,1,1,CPOP
ICRB,0.4997,0.3715,0.7671,0.25,0.0070819854736328125,0.0045926570892333984,1,1,CPOP
STO,0.5051,0.3835,0.5333,0.0,0.006771564483642578,0.0045926570892333984,1,1,CPOP
Rand,0.4947,0.3603,1.0,0.625,0.006907939910888672,0.0045926570892333984,1,1,CPOP
CPF,0.4748,0.3587,0.3,0.25,0.005922794342041016,0.003393411636352539,1,1,HEFT
ICRB,0.4838,0.3258,0.7,0.375,0.0063517093658447266,0.003393411636352539,1,1,HEFT
STO,0.4886,0.3481,0.4207,0.125,0.006562471389770508,0.003393411636352539,1,1,HEFT
Rand,0.4809,0.3195,0.7853,0.375,0.006644725799560547,0.003393411636352539,1,1,HEFT
CPF,0.4748,0.3587,0.3864,0.25,0.005625724792480469,0.0032236576080322266,1,1,CPOP
ICRB,0.51,0.3434,0.6136,0.375,0.005506992340087891,0.0032236576080322266,1,1,CPOP
STO,0.4944,0.3522,0.4796,0.0,0.005481719970703125,0.0032236576080322266,1,1,CPOP
Rand,0.4944,0.3522,0.4796,0.5,0.00629878044128418,0.0032236576080322266,1,1,CPOP
CPF,0.4562,0.3027,0.6726,0.125,0.005986928939819336,0.0034399032592773438,1,1,HEFT
ICRB,0.4648,0.3238,0.4004,0.375,0.005765199661254883,0.0034399032592773438,1,1,HEFT
STO,0.4639,0.2925,0.8188,0.25,0.005583524703979492,0.0034399032592773438,1,1,HEFT
Rand,0.4537,0.2906,0.8462,0.625,0.00566864013671875,0.0034399032592773438,1,1,HEFT
CPF,0.4562,0.3027,0.7878,0.125,0.006615877151489258,0.0036444664001464844,1,1,CPOP
ICRB,0.4648,0.3238,0.469,0.375,0.007258892059326172,0.0036444664001464844,1,1,CPOP
STO,0.4801,0.3027,0.7878,0.125,0.00649261474609375,0.0036444664001464844,1,1,CPOP
Rand,0.4604,0.2901,1.0,0.875,0.005982398986816406,0.0036444664001464844,1,1,CPOP
CPF,0.5122,0.3718,0.4874,0.25,0.006749153137207031,0.004222393035888672,1,1,HEFT
ICRB,0.5122,0.3718,0.4874,0.25,0.00659632682800293,0.004222393035888672,1,1,HEFT
STO,0.4936,0.3577,0.7141,0.25,0.006273031234741211,0.004222393035888672,1,1,HEFT
Rand,0.5073,0.3617,0.649,0.75,0.0063054561614990234,0.004222393035888672,1,1,HEFT
