,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
266,ICRB,0.6102,7.0,1,0,2,0.9,3,166.8923965888776,203.00643530767383
267,ICRB,0.3022,7.0,1,0,2,0.9,3,129.4814167955305,159.97511363317872
268,ICRB,0.4044,10.0,1,0,2,0.9,3,146.3995264120773,177.8201151946254
269,ICRB,0.4917,11.0,1,0,2,0.9,3,139.50883252539833,184.07154546869518
270,ICRB,0.4789,9.0,1,0,2,0.9,3,129.58246267419753,166.41930432050071
271,ICRB,0.6999,8.0,1,0,2,0.9,3,119.26746936337253,147.38134007356342
272,ICRB,0.6579,8.0,1,0,2,0.9,3,139.30120070066755,175.50458449062802
273,ICRB,0.5077,9.0,1,0,2,0.9,3,144.7757216873124,173.631184686444
274,ICRB,0.4699,10.0,1,0,2,0.9,3,143.58484829510033,181.16371762267806
275,ICRB,0.5469,8.0,1,0,2,0.9,3,147.42569786447493,188.25961982744062
276,ICRB,0.2801,8.0,1,0,2,0.9,3,119.2999484044064,147.8915883057581
277,ICRB,0.4397,10.0,1,0,2,0.9,3,126.41822821891307,161.45506377885135
278,ICRB,0.5271,7.0,1,0,2,0.9,3,155.1656087076728,194.22974529512385
279,ICRB,0.498,7.0,1,0,2,0.9,3,135.67301027180443,176.22986578114848
280,ICRB,0.4793,10.0,1,0,2,0.9,3,151.41988627555912,199.80280323517567
281,ICRB,0.3702,8.0,1,0,2,0.9,3,142.51335057828777,175.55426201735781
282,ICRB,0.5064,9.0,1,0,2,0.9,3,133.27509942460168,152.09769944858243
283,ICRB,0.6812,8.0,1,0,2,0.9,3,131.8408723346542,161.81349638399593
284,ICRB,0.2248,5.0,1,0,2,0.9,3,117.65085645828977,150.22742408326755
285,ICRB,0.4398,8.0,1,0,2,0.9,3,186.05637903237837,226.81016724865674
286,ICRB,0.7303,8.0,1,0,2,0.9,3,149.56794180608392,182.81820697204208
287,ICRB,0.4725,9.0,1,0,2,0.9,3,147.96472541924345,177.88183000144033
288,ICRB,0.7685,9.0,1,0,2,0.9,3,143.02006477672288,176.18485882924324
